=================================================
n_gen  |  n_eval  |     f_avg     |     f_min
=================================================
     1 |      100 | -6.439875E-02 | -1.323529E+00
     2 |      150 | -1.147056E-01 | -1.323529E+00
     3 |      200 | -1.985475E-01 | -1.323529E+00
     4 |      250 | -3.489175E-01 | -1.352941E+00
     5 |      300 | -5.707713E-01 | -1.352941E+00
     6 |      350 | -8.017169E-01 | -1.352941E+00
     7 |      400 | -9.504555E-01 | -1.352941E+00
     8 |      450 | -1.019114E+00 | -1.352941E+00
     9 |      500 | -1.090109E+00 | -1.352941E+00
    10 |      550 | -1.139993E+00 | -1.352941E+00
    11 |      600 | -1.167736E+00 | -1.352941E+00
    12 |      650 | -1.179967E+00 | -1.352941E+00
    13 |      700 | -1.193281E+00 | -1.352941E+00
    14 |      750 | -1.199057E+00 | -1.352941E+00
    15 |      800 | -1.207773E+00 | -1.352941E+00
    16 |      850 | -1.210181E+00 | -1.352941E+00
    17 |      900 | -1.212589E+00 | -1.352941E+00
    18 |      950 | -1.219417E+00 | -1.352941E+00
    19 |     1000 | -1.225456E+00 | -1.352941E+00
    20 |     1050 | -1.229876E+00 | -1.352941E+00
    21 |     1100 | -1.230836E+00 | -1.352941E+00
    22 |     1150 | -1.231796E+00 | -1.352941E+00
    23 |     1200 | -1.232848E+00 | -1.352941E+00
    24 |     1250 | -1.233545E+00 | -1.352941E+00
    25 |     1300 | -1.233545E+00 | -1.352941E+00
    26 |     1350 | -1.233545E+00 | -1.352941E+00
    27 |     1400 | -1.233545E+00 | -1.352941E+00
    28 |     1450 | -1.233545E+00 | -1.352941E+00
    29 |     1500 | -1.233545E+00 | -1.352941E+00
    30 |     1550 | -1.235217E+00 | -1.352941E+00
    31 |     1600 | -1.235217E+00 | -1.352941E+00
    32 |     1650 | -1.235217E+00 | -1.352941E+00
    33 |     1700 | -1.235217E+00 | -1.352941E+00
    34 |     1750 | -1.235217E+00 | -1.352941E+00
    35 |     1800 | -1.236889E+00 | -1.352941E+00
    36 |     1850 | -1.236889E+00 | -1.352941E+00
    37 |     1900 | -1.236889E+00 | -1.352941E+00
    38 |     1950 | -1.236889E+00 | -1.352941E+00
    39 |     2000 | -1.236889E+00 | -1.352941E+00
    40 |     2050 | -1.236889E+00 | -1.352941E+00
    41 |     2100 | -1.236889E+00 | -1.352941E+00
    42 |     2150 | -1.236889E+00 | -1.352941E+00
    43 |     2200 | -1.236889E+00 | -1.352941E+00
    44 |     2250 | -1.236889E+00 | -1.352941E+00
    45 |     2300 | -1.236889E+00 | -1.352941E+00
    46 |     2350 | -1.236889E+00 | -1.352941E+00
    47 |     2400 | -1.236889E+00 | -1.352941E+00
    48 |     2450 | -1.236889E+00 | -1.352941E+00
    49 |     2500 | -1.236889E+00 | -1.352941E+00
    50 |     2550 | -1.236889E+00 | -1.352941E+00
Best solution found size: 1
Function value: [-1.35294118]
=================================================
n_gen  |  n_eval  |     f_avg     |     f_min
=================================================
     1 |      100 | -4.155507E-02 | -7.627119E-01
     2 |      150 | -7.036184E-02 | -7.796610E-01
     3 |      200 | -1.195109E-01 | -7.796610E-01
     4 |      250 | -1.965690E-01 | -7.796610E-01
     5 |      300 | -3.064994E-01 | -7.796610E-01
     6 |      350 | -4.283460E-01 | -7.796610E-01
     7 |      400 | -4.943796E-01 | -7.796610E-01
     8 |      450 | -5.639382E-01 | -7.796610E-01
     9 |      500 | -6.070489E-01 | -7.796610E-01
    10 |      550 | -6.363055E-01 | -7.796610E-01
    11 |      600 | -6.527540E-01 | -7.796610E-01
    12 |      650 | -6.615310E-01 | -7.796610E-01
    13 |      700 | -6.673823E-01 | -7.796610E-01
    14 |      750 | -6.713249E-01 | -7.796610E-01
    15 |      800 | -6.790407E-01 | -7.796610E-01
    16 |      850 | -6.885399E-01 | -7.796610E-01
    17 |      900 | -6.932048E-01 | -7.796610E-01
    18 |      950 | -6.932048E-01 | -7.796610E-01
    19 |     1000 | -6.932048E-01 | -7.796610E-01
    20 |     1050 | -6.932048E-01 | -7.796610E-01
    21 |     1100 | -6.932048E-01 | -7.796610E-01
    22 |     1150 | -6.932048E-01 | -7.796610E-01
    23 |     1200 | -6.932048E-01 | -7.796610E-01
    24 |     1250 | -6.932048E-01 | -7.796610E-01
    25 |     1300 | -6.932048E-01 | -7.796610E-01
    26 |     1350 | -6.932048E-01 | -7.796610E-01
    27 |     1400 | -6.932048E-01 | -7.796610E-01
    28 |     1450 | -6.956220E-01 | -7.796610E-01
    29 |     1500 | -6.956220E-01 | -7.796610E-01
    30 |     1550 | -6.956220E-01 | -7.796610E-01
    31 |     1600 | -6.956220E-01 | -7.796610E-01
    32 |     1650 | -6.956220E-01 | -7.796610E-01
    33 |     1700 | -6.956220E-01 | -7.796610E-01
    34 |     1750 | -6.956220E-01 | -7.796610E-01
    35 |     1800 | -6.956220E-01 | -7.796610E-01
    36 |     1850 | -7.002869E-01 | -7.796610E-01
    37 |     1900 | -7.002869E-01 | -7.796610E-01
    38 |     1950 | -7.002869E-01 | -7.796610E-01
    39 |     2000 | -7.002869E-01 | -7.796610E-01
    40 |     2050 | -7.002869E-01 | -7.796610E-01
    41 |     2100 | -7.002869E-01 | -7.796610E-01
    42 |     2150 | -7.002869E-01 | -7.796610E-01
    43 |     2200 | -7.002869E-01 | -7.796610E-01
    44 |     2250 | -7.002869E-01 | -7.796610E-01
    45 |     2300 | -7.002869E-01 | -7.796610E-01
    46 |     2350 | -7.002869E-01 | -7.796610E-01
    47 |     2400 | -7.002869E-01 | -7.796610E-01
    48 |     2450 | -7.049518E-01 | -7.796610E-01
    49 |     2500 | -7.071995E-01 | -7.796610E-01
    50 |     2550 | -7.071995E-01 | -7.796610E-01
Best solution found size: 1
Function value: [-0.77966102]
=================================================
n_gen  |  n_eval  |     f_avg     |     f_min    
=================================================
